Player Name ,Position,Fantasy Points,Identifier
Andrew Luck,QB,329.6,1
Aaron Rodgers,QB,325.2,2
Russell Wilson,QB,303.2,3
Peyton Manning,QB,298,4
Drew Brees,QB,295.6,5
Tom Brady,QB,281.2,6
Cam Newton,QB,278.9,7
Matt Ryan,QB,278.8,8
Tony Romo,QB,272.9,9
Matthew Stafford,QB,271.3,10
Ben Roethlisberger,QB,270.3,11
Ryan Tannehill,QB,262.7,12
Philip Rivers,QB,258.8,13
Eli Manning,QB,254,14
Colin Kaepernick,QB,252.2,15
Jay Cutler,QB,249.1,16
Joe Flacco,QB,244.5,17
Teddy Bridgewater,QB,236.6,18
Sam Bradford,QB,235,19
Carson Palmer,QB,232.8,20
Alex Smith,QB,230.7,21
Andy Dalton,QB,223.3,22
Marcus Mariota,QB,221.5,23
Jameis Winston,QB,216.4,24
Nick Foles,QB,209.3,25
Derek Carr,QB,207.5,26
Blake Bortles,QB,205.5,27
Tyrod Taylor,QB,199.2,28
Josh McCown,QB,173.8,29
Kirk Cousins,QB,160.9,30
Brian Hoyer,QB,147.9,31
Ryan Fitzpatrick,QB,144.8,32
Geno Smith,QB,81.2,33
Ryan Mallett,QB,72.3,34
Marshawn Lynch,RB,238.6,1
Jamaal Charles,RB,237.6,2
Eddie Lacy,RB,232.3,3
Adrian Peterson,RB,226.2,4
Le'Veon Bell,RB,218.9,5
C.J. Anderson,RB,214.5,6
Matt Forte,RB,214.2,7
DeMarco Murray,RB,202.6,8
Jeremy Hill,RB,193.5,9
LeSean McCoy,RB,188.6,10
Justin Forsett,RB,182.4,11
Lamar Miller,RB,173.2,12
Mark Ingram,RB,172.2,13
Melvin Gordon,RB,167.9,14
Arian Foster,RB,166.9,15
Latavius Murray,RB,166.5,16
Frank Gore,RB,158.4,17
Carlos Hyde,RB,157.6,18
LeGarrette Blount,RB,154.7,19
Alfred Morris,RB,153.1,20
Jonathan Stewart,RB,151.4,21
T.J. Yeldon,RB,147.8,22
Andre Ellington,RB,144.8,23
Christopher Ivory,RB,143.5,24
Rashad Jennings,RB,141.5,25
Joique Bell,RB,140,26
Isaiah Crowell,RB,138.3,27
Tevin Coleman,RB,130,28
Giovani Bernard,RB,125.7,29
Todd Gurley,RB,123.6,30
Joseph Randle,RB,122.3,31
Ameer Abdullah,RB,122.2,32
Doug Martin,RB,117.3,33
C.J. Spiller,RB,116.9,34
Devonta Freeman,RB,109.3,35
Ryan Mathews,RB,102.2,36
Tre Mason,RB,96.5,37
Shane Vereen,RB,94,38
Duke Johnson,RB,94,39
Bishop Sankey,RB,92.5,40
Charles Sims,RB,90.4,41
Alfred Blue,RB,88.9,42
Darren McFadden,RB,85.3,43
Danny Woodhead,RB,83.5,44
Darren Sproles,RB,83.3,45
Reggie Bush,RB,82.1,46
Knile Davis,RB,79,47
Roy Helu,RB,75.3,48
Matt Jones,RB,74.9,49
Ronnie Hillman,RB,70.2,50
David Johnson,RB,70,51
Lorenzo Taliaferro,RB,68.7,52
Andre Williams,RB,68.6,53
Denard Robinson,RB,68.3,54
Josh Robinson,RB,63.1,55
James Starks,RB,62,56
Damien Williams,RB,61,57
Lance Dunbar,RB,60.2,58
Christine Michael,RB,59.7,59
Benny Cunningham,RB,57.8,60
Jerick McKinnon,RB,56.6,61
Bilal Powell,RB,55.7,62
Dion Lewis,RB,55.6,63
Javorius Allen,RB,55,64
Fred Jackson,RB,52.6,65
Chris Johnson,RB,52.1,66
Brandon Bolden,RB,52,67
Theo Riddick,RB,51.9,68
DeAngelo Williams,RB,51.3,69
Ray Rice,RB,49.5,70
Cameron Artis-Payne,RB,48.8,71
Branden Oliver,RB,48.6,72
Antonio Andrews,RB,46.3,73
Terrance West,RB,46.2,74
Dexter McCluster,RB,45.5,75
Mike Tolbert,RB,44.2,76
Jacquizz Rodgers,RB,38.9,77
Karlos Williams,RB,37.6,78
Fozzy Whittaker,RB,36.2,79
Toby Gerhart,RB,35.8,80
Montee Ball,RB,35.2,81
De'Anthony Thomas,RB,33.2,82
Marcel Reece,RB,32.6,83
Jeremy Langford,RB,31.4,84
Darrel Young,RB,31.4,85
Khiry Robinson,RB,31.3,86
Ka'Deem Carey,RB,30.8,87
LaMichael James,RB,30.1,88
Vick Ballard,RB,29.8,89
Stevan Ridley,RB,29.7,90
James White,RB,28.7,91
Bruce Miller,RB,28.7,92
David Cobb,RB,27.7,93
Chris Polk,RB,27.7,94
Juwan Thompson,RB,27.1,95
Stepfan Taylor,RB,26.9,96
Bobby Rainey,RB,25.2,97
Jonathan Grimes,RB,25.2,98
Nikita Whitlock,RB,24.5,99
Austin Johnson,RB,24.3,100
Zach Line,RB,23.9,101
Anthony Dixon,RB,23.3,102
Zac Stacy,RB,23,103
Tommy Bohanon,RB,22.6,104
Derrick Coleman,RB,21.6,105
Malcolm Johnson,RB,21.6,106
Matt Asiata,RB,20.9,107
Thomas Rawls,RB,20.4,108
John Kuhn,RB,20.3,109
Jalston Fowler,RB,20.1,110
Dri Archer,RB,20.1,111
Michael Burton,RB,19.2,112
Anthony Sherman,RB,19.1,113
Travaris Cadet,RB,18.7,114
Jerome Felton,RB,18.7,115
Jorvorskie Lane,RB,16.7,116
Ryan Hewitt,RB,16.6,117
Jay Ajayi,RB,16.3,118
Jay Prosch,RB,16,119
Patrick DiMarco,RB,15.6,120
Terron Ward,RB,15.1,121
Jarryd Hayne,RB,14.7,122
Tyler Clutts,RB,14.3,123
Trey Watts,RB,13.6,124
Chris Thompson,RB,12.5,125
Kyle Juszczyk,RB,10.4,126
Fitzgerald Toussaint,RB,9.8,127
Taiwan Jones,RB,9.3,128
Collin Mooney,RB,8.7,129
Cedric Peerman,RB,8.6,130
Will Johnson,RB,8.3,131
Rex Burkhead,RB,8.1,132
Orleans Darkwa,RB,8.1,133
Tim Hightower,RB,8,134
James Casey,RB,6.9,135
Kiero Small,RB,6.5,136
Mike Davis,RB,6.4,137
Mike James,RB,6.3,138
Zach Zenner,RB,6.2,139
Donald Brown,RB,6.1,140
Bryce Brown,RB,5.9,141
Senorise Perry,RB,5.2,142
Jamize Olawale,RB,5.1,143
Jordan Todman,RB,4.9,144
Marcus Thigpen,RB,4.7,145
Charcandrick West,RB,4.3,146
Bernard Pierce,RB,2.6,147
Antonio Brown,WR,212.6,1
